scale,extent,resolution,variant,n,lag,r,p_naive,neff,ci_lo,ci_hi,p_block,best_lag,r_best,p_block_best,q_block,ci_excl0,robust_sig,naive_sig
wide-native,wide,native,level,90,0,-0.04876723209596676,0.648065523380514,66.74839958670373,-0.31022485692871865,0.16039844365135691,0.7218556288742252,-5,-0.3055923430558904,0.01899620075984803,0.9866026794641072,False,False,False
wide-native,wide,native,intensity,90,0,0.1262979807179261,0.23555279369520185,71.85711644317492,-0.12182722981032124,0.2994799745158223,0.33913217356528697,6,0.262464479178453,0.047590481903619274,0.9866026794641072,False,False,False
wide-native,wide,native,yoy,78,0,-0.0034640985427591407,0.9759871192287701,55.80791613065956,-0.40389131842672715,0.2867021100758193,0.9866026794641072,-6,-0.26249383678195254,0.08958208358328335,0.9866026794641072,False,False,False
wide-native,wide,native,stl,90,0,-0.0021572855238695455,0.9838999845411123,83.98845466559986,-0.22112560573286055,0.1729733052217991,0.9834033193361328,-5,-0.2336365055302189,0.044191161767646474,0.9866026794641072,False,False,False
wide-coarse010,wide,coarse010,level,90,0,0.1861645986566085,0.07894890228821506,62.40818199944083,-0.06889303923233878,0.3589988266788311,0.14777044591081784,4,0.27792050226742804,0.021595680863827234,0.9866026794641072,False,False,False
wide-coarse010,wide,coarse010,intensity,90,0,0.13136305414249916,0.21714505957090882,62.89076313228785,-0.12738752778581905,0.3121161855483455,0.3079384123175365,4,0.22508619444826958,0.0593881223755249,0.9866026794641072,False,False,False
wide-coarse010,wide,coarse010,yoy,78,0,-0.06501059157736543,0.5717426345686478,54.2531836299241,-0.5170716023016986,0.24093509390939633,0.6330733853229354,-6,-0.29556314569100284,0.01979604079184163,0.9866026794641072,False,False,False
wide-coarse010,wide,coarse010,stl,90,0,0.10773716276821978,0.3121395011697359,76.97243510745227,-0.11484662240668037,0.2747780544622079,0.33653269346130776,6,0.24053063760833931,0.03279344131173765,0.9866026794641072,False,False,False
tight-native,tight,native,level,90,0,-0.08107032580314333,0.44749291754768533,66.24988055781002,-0.3443053209429425,0.13164269825489963,0.5824835032993402,-5,-0.3384562987949495,0.008198360327934412,0.9866026794641072,False,False,False
tight-native,tight,native,intensity,90,0,0.09303403037739044,0.3831240676283854,71.42582285206461,-0.14287549940766553,0.2628820489785913,0.5098980203959208,6,0.27335582276144277,0.04599080183963208,0.9866026794641072,False,False,False
tight-native,tight,native,yoy,78,0,-0.030581933657687656,0.790398005014378,55.30597889704654,-0.41123040674573164,0.252847980369013,0.8402319536092782,-6,-0.28460874108690587,0.07878424315136973,0.9866026794641072,False,False,False
tight-native,tight,native,stl,90,0,0.01898327846119525,0.8590451545933622,85.55684167080528,-0.2146545040880724,0.19870168692343293,0.8904219156168767,6,0.224862905930579,0.09858028394321136,0.9866026794641072,False,False,False
tight-coarse010,tight,coarse010,level,90,0,-0.007003082716202894,0.9477685981510928,69.07148689323162,-0.2688841104433837,0.189755224009872,0.9558088382323535,-5,-0.25510872594851924,0.041591681663667265,0.9866026794641072,False,False,False
tight-coarse010,tight,coarse010,intensity,90,0,0.048018109375763784,0.6531204556510878,69.64330667509377,-0.21098777087444606,0.23750151031029304,0.7186562687462508,6,0.260575725867211,0.04879024195160968,0.9866026794641072,False,False,False
tight-coarse010,tight,coarse010,yoy,78,0,-0.1189540171307651,0.2995959117555712,55.99642095959936,-0.49017098925975466,0.1920121103688041,0.4323135372925415,-7,-0.313538169445335,0.024795040991801638,0.9866026794641072,False,False,False
tight-coarse010,tight,coarse010,stl,90,0,-0.04371819638559733,0.6824329513742033,77.59134269246603,-0.31086451499610396,0.14747986789588938,0.7336532693461307,-5,-0.21360103322957313,0.07998400319936012,0.9866026794641072,False,False,False
